Vehicle Name,Description,Kilometer,Price,Location,Condition
2014 Land Rover Discovery MY14 3.0 SDV6 SE Fuji White 8 Speed Automatic Wagon,"There is not much not to like about the Discovery. In 183KW SE form it can be driven and treated as a pure luxury vehicle and there are not any compromises you have to make despite its off-road underpinnings. The stylish presentation its road presence and luxury touring appeal. This SE-spec comes with Meridian Sound upgrade, rear-view camera, RHINO Roof rack and low kilometres.",109438 km,"$55,971","Jandakot, WA",Dealer used 
2012 Chrysler 300 LX MY12 C E-Shift Blue 8 Speed Sports Automatic Sedan,"""CONVENIENTLY LOCATED 15 MINS SOUTH OF BRISBANE CBD! EASY CAR FINANCE AVAILABLE TO APPROVED APPLICANTS! AS PART OF THE LARGEST AUTOMOTIVE GROUP IN THE COUNTRY WE HAVE ACCESS TO THE VERY BEST VEHICLE FINANCE OPTIONS AND ONLY KEEP THE BEST OF OUR NEW CAR TRADE-INS! - ZERO DEPOSIT APPROVALS- FLEXIBLE TERMS FROM 1 - 7 YEARS- BEST IN MARKET RATES - LOW DOC / SELF EMPLOYED LOANS - COMPREHENSIVE INSURANCE - FAST APPROVALS All our vehicles undergo a strict 100 point inspection before being sele",107000 km,"$22,000","Mount Gravatt, QLD",Dealer used 
2014 Holden Ute VF MY14 SS Ute Blue 6 Speed Sports Automatic Utility,***We are located on the Mid North Coast of NSW a family owned business established for over 25 years. We can deliver to most places in Australia at a small additional expense if required. We specialize in New and Used Cars of all makes and models. Finance can be arranged on all New and Used Cars Thanks for looking at another of our fabulous selection of quality New and Used Cars.***,30258 km,"$49,990","Port Macquarie, NSW",Dealer used 
2012 Ford Focus LW MkII ST Orange 6 Speed Manual Hatchback,"This car comes with a 7 day money back guarantee. If for any reason you're not completely satisfied with this vehicle within 7 days of picking it up, you can return it to us for a full refund. T&Cs apply.",119400 km,"$21,990","Adelaide CBD, SA",Dealer used 
2007 Peugeot 407 MY07 ST HDi White 6 Speed Tiptronic Sedan,2007 Peugeot 407 MY07 ST HDi White 6 Speed Tiptronic Sedan,184991 km,"$8,495","Chandler, QLD",Dealer used 
2017 Ford Ranger PX MkII XL White 6 Speed Sports Automatic Utility,"LOCATED ONLY A 5 MIN DRIVE FROM WEST GATE BRIDGE OPEN 7 DAYS(weekends by appointment) MK LTR TURBO OF'S MOST POPULAR 4X4 DUAL CAB THE RANGER TURBO DIESEL.... 
CREDIT TO PREVIOUS OWNER, VERY WELL MAINTAINED THROUGHOUT .... LOOKS DRIVES AND HANDLES EXTREMELY WELL..... LOADED WITH FEATURES: REAR DIFF LOCKER, WINCH, REVERSE CAMERA, 4X4, ROOF RACK, BULL BAR, SPORTS BAR, DRIVING LIGHTS, MUD TYRES, SNORKEL, WINDOW WINDSHIELDS, BONNET PROCTER, POWER WINDOWS, DUAL AIRBAGS, CD PLAYER, TOW BAR,",156000 km,"$39,998","Altona North, VIC",Dealer used 
2015 Mercedes c180 coupe avantgarde 1 owner only 69000ks ,"Pristine Condition.
1st hand owner
2015 Mercedes C180 coupe Avantgarde.
Only 68800ks
Log books and service history
AMG pack and Panoramic sunroof
Luxury motoring
Navigation.
Bluetooth.
Front & rear parking sensor.
Premium Alloys.
Excellent condition
First to see will buy
All the extras
Very low klms
We are located in haberfield nsw
We offer easy finance
Extended warranty available
We deliver anywhere in Australia",68850 km,"$28,501","Haberfield, NSW",Dealer used 
2017 Toyota Landcruiser Prado GDJ150R GXL White 6 Speed Sports Automatic Wagon,"PRE-OWNED CLEARANCE EVENT 
24 HOUR MONEY BACK GUARANTEE* available on this vehicle! *T&C?s apply. Speak to us for full details and more information. 
CONTACTLESS TEST DRIVE EXPERIENCE AVAILABLE booking essential 
2017 Toyota Prado GLX 
Diesel 4x4 
Travelled 186,000 Km 
Fitted With 
ARB BullBar 
Towbar 
One of Sydney?s Largest Volvo Dealershi",186198 km,"$49,690","Lindfield, NSW",Dealer used 
2015 Nissan Juke F15 Series 2 Ti-S X-tronic AWD White 1 Speed Constant Variable Hatchback,"** ALL WHEEL DRIVE ** TOP OF THE RANGE ** TURBO ENGINE ** SAT NAV ** ALLOY RIMS ** PARTIAL LEATHER ** HEATED SEATS ** ROOF RACKS ** 360 CAMERA ** CLIMATE CONTROL ** KEYLESS ENTRY AND DRIVE ** If you feel this car is ticking all the boxes and wish to secure it subject to a test drive and viewing, give us a call and one of our experienced sales staff will help you make sure you don't miss out! We sell all over the Perth area including but not limited too Joondalup, Wangara, Burns Beach, Innalo",91607 km,"$18,977","Mandurah, WA",Dealer used 
Ssangyong Korando S C200 Turbo diesel 2012 model ,"Affordable Family SUV.
Logbooks & 2 keys.
Turbo Diesel.
Bluetooth.
Full power options.
Huge boot space.
Drive perfect.
Price negotiable.
We located at 2 Haberfield Rd Haberfield NSW.
1-5 extended warranty.
Tradeins welcome.
We offer delivery anywhere in Australia.",107200 km,"$10,801","Haberfield, NSW",Dealer used 
2015 Toyota FJ Cruiser GSJ15R MY14 Black 5 Speed Automatic Wagon,2015 Toyota FJ Cruiser GSJ15R MY14 Black 5 Speed Automatic Wagon,111231 km,"$51,998","Cannington, WA",Dealer used 
2015 Nissan Juke F15 Series 2 Ti-S X-tronic AWD White 1 Speed Constant Variable Hatchback,"** ALL WHEEL DRIVE ** TOP OF THE RANGE ** TURBO ENGINE ** SAT NAV ** ALLOY RIMS ** PARTIAL LEATHER ** HEATED SEATS ** ROOF RACKS ** 360 CAMERA ** CLIMATE CONTROL ** KEYLESS ENTRY AND DRIVE ** If you feel this car is ticking all the boxes and wish to secure it subject to a test drive and viewing, give us a call and one of our experienced sales staff will help you make sure you don't miss out! We sell all over the Perth area including but not limited too Joondalup, Wangara, Burns Beach, Innalo",91607 km,"$18,977","Mandurah, WA",Dealer used 
2007 Peugeot 407 MY07 ST HDi White 6 Speed Tiptronic Sedan,2007 Peugeot 407 MY07 ST HDi White 6 Speed Tiptronic Sedan,184991 km,"$8,495","Chandler, QLD",Dealer used 
2007 Honda Civic 8th Gen MY07 VTi-L Black 5 Speed Automatic Sedan,"*****24 Hours Money Back Guarantee, Sydney Metro*** Buy with confidence with our 24 hours money back guarantee to all vehicles sold to Sydney Metro Areas. All our vehicles come with Guaranteed cleared title Free Roadworthy certificate Free 100 point safety inspection 24 Hour Money Back Guarantee (condition applies) You can have chat to one of our in-house finance team for a free borrowing power assessment, and for finance deal tailored to your needs. Our state-of-the-art service d",148339 km,"$9,999","Castle Hill, NSW",Dealer used 
2012 Chrysler 300 LX MY12 C E-Shift Blue 8 Speed Sports Automatic Sedan,"""CONVENIENTLY LOCATED 15 MINS SOUTH OF BRISBANE CBD! EASY CAR FINANCE AVAILABLE TO APPROVED APPLICANTS! AS PART OF THE LARGEST AUTOMOTIVE GROUP IN THE COUNTRY WE HAVE ACCESS TO THE VERY BEST VEHICLE FINANCE OPTIONS AND ONLY KEEP THE BEST OF OUR NEW CAR TRADE-INS! - ZERO DEPOSIT APPROVALS- FLEXIBLE TERMS FROM 1 - 7 YEARS- BEST IN MARKET RATES - LOW DOC / SELF EMPLOYED LOANS - COMPREHENSIVE INSURANCE - FAST APPROVALS All our vehicles undergo a strict 100 point inspection before being sele",107000 km,"$22,000","Mount Gravatt, QLD",Dealer used 
2015 Mercedes c180 coupe avantgarde 1 owner only 69000ks ,"Pristine Condition.
1st hand owner
2015 Mercedes C180 coupe Avantgarde.
Only 68800ks
Log books and service history
AMG pack and Panoramic sunroof
Luxury motoring
Navigation.
Bluetooth.
Front & rear parking sensor.
Premium Alloys.
Excellent condition
First to see will buy
All the extras
Very low klms
We are located in haberfield nsw
We offer easy finance
Extended warranty available
We deliver anywhere in Australia",68850 km,"$28,501","Haberfield, NSW",Dealer used 
2019 Nissan X-Trail T32 Series 2 ST (4WD) (5Yr) Grey Continuous Variable Wagon,"FREE DELIVERY TO YOUR DOOR STEP, TO ALL SYDNEY METROPOLITAN AREAS!!! NATIONWIDE DELIVERY AVAILABLE...
UNDER THE CURRENT LOCKDOWN SITUATION, WE ARE SELLING CARS ""UNDER THE CLICK AND COLLECT"" PROCESS. WE HAVE OUR STAFF TO ASSIST YOU WITH AN EASY TRANSACTION.
WE HAVE TO ADAPT AND CHANGE TO THE CURRENT SITUATION TO OUR CUSTOMERS, SO WE NOW OFFER CONTACTLESS EXPERIENCE . SUCH AS FACE TIME,
PLEASE CONTACT US FOR A FURTHER ASSISTANCE, 
ALL PRICES REDUCED_____
REAL SALE_____REAL DEALS
",40260 km,"$31,999","Homebush, NSW",Dealer used 
2015 Volkswagen Tiguan 5NC MY16 155 TSI R-Line (4x4) Silver 7 Speed Auto Direct Shift Wagon,"SPORTY STYLE FROM THIS R-LINE TIGUAN, HEATED LEATHER SEATS, SAT NAV SYS TEM, REAR VIEW CAMERA, REAR PARK ASSIST, FACTORY ALLOY WHEELS, MULTI FU NCTION ENTERTAINMENT SYSTEM, APPLE ANDROID CAR PLAY, DUAL ZONE CLIMAT E CONTROL, Ask us to send you a video tour of this car today!! Due to our pricing and high demand, it is best to enquire now to see if this car is still in stock. Every vehicle is fully prepared to the highest standard with a full 100-point inspection, with no exceptions! We ",81764 km,"$28,998","Cannington, WA",Dealer used 
2014 Holden Ute VF MY14 SS Ute Blue 6 Speed Sports Automatic Utility,***We are located on the Mid North Coast of NSW a family owned business established for over 25 years. We can deliver to most places in Australia at a small additional expense if required. We specialize in New and Used Cars of all makes and models. Finance can be arranged on all New and Used Cars Thanks for looking at another of our fabulous selection of quality New and Used Cars.***,30258 km,"$49,990","Port Macquarie, NSW",Dealer used 
2012 Chrysler 300 LX MY12 C E-Shift Blue 8 Speed Sports Automatic Sedan,"""CONVENIENTLY LOCATED 15 MINS SOUTH OF BRISBANE CBD! EASY CAR FINANCE AVAILABLE TO APPROVED APPLICANTS! AS PART OF THE LARGEST AUTOMOTIVE GROUP IN THE COUNTRY WE HAVE ACCESS TO THE VERY BEST VEHICLE FINANCE OPTIONS AND ONLY KEEP THE BEST OF OUR NEW CAR TRADE-INS! - ZERO DEPOSIT APPROVALS- FLEXIBLE TERMS FROM 1 - 7 YEARS- BEST IN MARKET RATES - LOW DOC / SELF EMPLOYED LOANS - COMPREHENSIVE INSURANCE - FAST APPROVALS All our vehicles undergo a strict 100 point inspection before being sele",107000 km,"$22,000","Mount Gravatt, QLD",Dealer used 
2019 Nissan X-Trail T32 Series 2 ST (4WD) (5Yr) Grey Continuous Variable Wagon,"FREE DELIVERY TO YOUR DOOR STEP, TO ALL SYDNEY METROPOLITAN AREAS!!! NATIONWIDE DELIVERY AVAILABLE...
UNDER THE CURRENT LOCKDOWN SITUATION, WE ARE SELLING CARS ""UNDER THE CLICK AND COLLECT"" PROCESS. WE HAVE OUR STAFF TO ASSIST YOU WITH AN EASY TRANSACTION.
WE HAVE TO ADAPT AND CHANGE TO THE CURRENT SITUATION TO OUR CUSTOMERS, SO WE NOW OFFER CONTACTLESS EXPERIENCE . SUCH AS FACE TIME,
PLEASE CONTACT US FOR A FURTHER ASSISTANCE, 
ALL PRICES REDUCED_____
REAL SALE_____REAL DEALS
",40260 km,"$31,999","Homebush, NSW",Dealer used 
2013 Honda CR-V 30 VTi-L (4x4) Red 5 Speed Automatic Wagon,"THIS 4WD HONDA CR-V PRESENTS GREAT VALUE FOR MONEY!! IT COMES WITH 2 KE YS, GREAT SERVICE HISTORY, TOW-BALL, LEATHER INTERIOR, SUNROOF, HEATED SEATS, REVERSE CAMERA, SAT NAV, PARKING SENSORS, PHONE CONNECTIVITY, BL UETOOTH AUDIO STREAMING, PUSH BUTTON START, ECO MODE AND LOADS MORE. As k us to send you a video tour of this car today!! Due to our pricing an d high demand, it is best to enquire now to see if this car is still in stock. Every vehicle is fully prepared to the highest standar",105721 km,"$23,998","Cannington, WA",Dealer used 
MUST SELL ..VERY GOOD ! 2003 Kia Rio  5 Sp Manual 5d Hatchback,"MUST SELL!!! Only $1.390 2003 Kia Rio 1.5 5 Sp Manual 5d Hatchback Only 165000 Km . Mechanically very good condition, reliable ,always does the job Had it for 4 years no problem , Timing belt changed. Rego till Nov 2021",,"$1,390","Yokine, WA",
2010 Holden Special Vehicles GTS E Series 3 E SERIES 3 SEDAN 4DR MAN 6SP 6 .2I Black Manual Sedan,"**FACTORY OPTIONED YELLOW BIG BRAKE PACKAGE, OPTIONAL SV20 ALLOYS FITTE D** This Manual HSV E3 GTS is the best one we have seen in along time ! It has had only two very fussy owners and with such low ks htese are g etting harder to find. It comes with full service history and books. Wh at will it be worth in the future ??? We are PERTHS LARGEST HOLDEN GMSV ISUZU UTE SUZUKI and CHEVROLET DEALE RSHIP with over 500 Vehicles in stock all undercover with "" THE BIG ROO F "" so we wil",74544 km,"$84,998","Cannington, WA",Dealer used 
1998 Holden Commodore Ss 4 Sp Automatic 4d Sedan,"VT SS, clean body and interior. Was my project car, don't have time now. Comes with 5 VTSS rims. Good car to restore to original. Has a VX SS front worth $500. If you can see through her ugly and look in to the future price will go up. Please no time wasters. Additional photos available on request.",,"$7,000","Blanchetown, SA",
2015 Volkswagen Tiguan 5NC MY16 155 TSI R-Line (4x4) Silver 7 Speed Auto Direct Shift Wagon,"SPORTY STYLE FROM THIS R-LINE TIGUAN, HEATED LEATHER SEATS, SAT NAV SYS TEM, REAR VIEW CAMERA, REAR PARK ASSIST, FACTORY ALLOY WHEELS, MULTI FU NCTION ENTERTAINMENT SYSTEM, APPLE ANDROID CAR PLAY, DUAL ZONE CLIMAT E CONTROL, Ask us to send you a video tour of this car today!! Due to our pricing and high demand, it is best to enquire now to see if this car is still in stock. Every vehicle is fully prepared to the highest standard with a full 100-point inspection, with no exceptions! We ",81764 km,"$28,998","Cannington, WA",Dealer used 
MUST SELL ..VERY GOOD ! 2003 Kia Rio  5 Sp Manual 5d Hatchback,"MUST SELL!!! Only $1.390 2003 Kia Rio 1.5 5 Sp Manual 5d Hatchback Only 165000 Km . Mechanically very good condition, reliable ,always does the job Had it for 4 years no problem , Timing belt changed. Rego till Nov 2021",,"$1,390","Yokine, WA",
2006 nissan patrol wagon,"Nissan patrol wagon for sale ,good condition for kms ,new injector pump,new tyres,new glow plugs , always serviced,just had full service ,history with vehicle 1 owner, it is currently registered until 5/22 but be selling unregistered as is",,"$12,000","Townsville, QLD",
2015 Ford Ranger Wildtrak 3.2 (4x4) 6 Sp Automatic Crew Cab Ut...,"Regretfully up for sale is my 2015 Ford Ranger PX Wildtrak. 130000 - almost no off road work, almost no towing. Mechanically A1. Full Ford service history, transmission replaced under warranty 20000k ago, AT tyres 80% tread. Minor damage to front bumper, rear bar and tray. So potentially suit someone looking to remove at set up for touring/4x4. More pics coming and inspection welcomed in Kew during working hours or Mernda after hours. Will be professionally cleaned inside and out prior to c",,"$38,000","Kew East, VIC",
2013 Honda CR-V 30 VTi-L (4x4) Red 5 Speed Automatic Wagon,"THIS 4WD HONDA CR-V PRESENTS GREAT VALUE FOR MONEY!! IT COMES WITH 2 KE YS, GREAT SERVICE HISTORY, TOW-BALL, LEATHER INTERIOR, SUNROOF, HEATED SEATS, REVERSE CAMERA, SAT NAV, PARKING SENSORS, PHONE CONNECTIVITY, BL UETOOTH AUDIO STREAMING, PUSH BUTTON START, ECO MODE AND LOADS MORE. As k us to send you a video tour of this car today!! Due to our pricing an d high demand, it is best to enquire now to see if this car is still in stock. Every vehicle is fully prepared to the highest standar",105721 km,"$23,998","Cannington, WA",Dealer used 
Towing service,"Towing service
Cash for junk cars
Free unwanted car removal",,$50,"Liverpool, NSW",
Towing service,"Towing service
Cash for junk cars
Free unwanted car removal",,$50,"Liverpool, NSW",
1998 Holden Commodore Ss 4 Sp Automatic 4d Sedan,"VT SS, clean body and interior. Was my project car, don't have time now. Comes with 5 VTSS rims. Good car to restore to original. Has a VX SS front worth $500. If you can see through her ugly and look in to the future price will go up. Please no time wasters. Additional photos available on request.",,"$7,000","Blanchetown, SA",
2015 Audi Q3 8U MY16 TDI S Tronic Quattro Grey 7 Speed Sports Automatic Dual Clutch Wagon,"Versatile Suv Diesel Quattro Q3 Travelled 77664 kms with full Audi service history and 2 keys. Comes Equipped with: Sat Nav, Full leather interior With Heated And Electric Seats, Electric Tailgate, Blind Spot Monitoring, Cruise and traction control, Front side airbags, Front and rear parking sensors, Reverse camera, Alloy wheels and so much more. Trade-ins are welcome and finance is available at great rates with fast approvals by our friendly team.",77549 km,"$34,999","Welshpool, WA",Dealer used 
2010 Volkswagen Tiguan 5NC MY11 125 TSI Blue 6 Speed Manual Wagon,"Trade-ins welcome! 
We have competitive, same-day finance options and comprehensive protection plans from leading Australian providers. Our vehicles have been independently mechanically inspected and road tested for your peace of mind. With over 2000 late-model quality passenger and commercial vehicles available under cover at one convenient location, our best price first fixed-price philosophy equals better value for you and provides a simple no-haggle, no-hassle vehicle buying experience.",125726 km,"$12,999","Bentley, WA",Dealer used 
2019 Toyota Hilux GUN126R SR5 Double Cab Crystal Pearl 6 Speed Sports Automatic Utility,"** Privately Owned local to our Dealership with a Full TSA (Toyota Service Advantage) history **
** Genuine Toyota lockable hard tonneau cover ( RRP $4300 ) **
** Tinted bonnet protector and slimline weather sheilds **
** 40,50,60,000km TSA (Toyota Service Advantage) available to the next owner ** 1. 1.Toyota Service Advantage takes the guess work out of servicing. Depending on the model, your logbook service costs will be set at one low cost. This is a TOYOTA CERTIFIED vehicle. Certified by",46401 km,"$61,989","Myaree, WA",Dealer used 
2019 Subaru Levorg V1 MY19 2.0 GT-S CVT AWD Silver 8 Speed Constant Variable Wagon,2019 Subaru Levorg V1 MY19 2.0 GT-S CVT AWD Silver 8 Speed Constant Variable Wagon,29241 km,"$46,888","Osborne Park, WA",Dealer used 
Towing service,"Towing service
Cash for junk cars
Free unwanted car removal",,$50,"Liverpool, NSW",
